,X,Y,Z
RQ01,3946119.905,499722.366,618.527
RQ02,3946123.035,499771.707,619.133
Q01,3946133.004,499823.533,605.562
Q02,3946143.897,499850.087,603.771
Q03,3946146.120,499871.464,600.825
Q04,3946145.454,499897.270,598.790
Q05,3946145.571,499920.884,596.131
Q06,3946150.293,499948.922,591.733
Q07,3946160.804,499975.977,590.560
Q08,3946179.961,499996.740,590.853
Q09,3946182.607,500022.687,589.735
Q010,3946183.860,500046.334,589.116
Q011,3946183.754,500085.492,588.500
Q012,3946179.786,500104.467,587.494
Q013,3946218.889,500128.690,588.195
Q014,3946214.872,500158.692,585.980
Q015,3946216.431,500169.716,582.969
Q016,3946211.774,500197.691,583.747
Q017,3946212.747,500222.563,582.164
Q018,3946216.053,500247.415,580.226
Q019,3946212.447,500272.327,579.664
Q020,3946202.316,500292.843,579.880
Q021,3946210.015,500314.719,579.636
Q022,3946190.847,500354.781,579.565
Q023,3946187.307,500368.321,580.058
Q024,3946175.921,500413.005,588.968
Q025,3946213.713,500423.108,606.836
Q026,3946215.196,500447.938,614.884
Q027,3946212.430,500471.378,622.377
Q028,3946202.956,500494.978,623.575
Q029,3946183.498,500522.165,619.939
Q035,3946229.508,500620.218,554.406
Q036,3946216.616,500650.493,555.824
RQ03,3946208.657,500697.242,554.025
RQ04,3946215.228,500748.779,553.270
RZ01,3945452.171,500201.236,693.573
RZ02,3945475.377,500211.165,697.395
Z01,3945497.520,500209.644,701.603
Z02,3945522.183,500212.726,714.319
Z03,3945556.526,500212.340,729.248
Z04,3945568.152,500202.126,732.146
Z05,3945596.318,500211.013,738.233
Z06,3945624.684,500210.090,739.199
Z07,3945649.890,500209.414,727.379
Z08,3945673.770,500213.138,721.446
Z09,3945703.723,500210.657,718.789
Z010,3945711.562,500204.890,715.543
Z011,3945746.548,500210.100,712.070
Z012,3945773.855,500205.438,707.982
Z013,3945800.935,500204.293,704.924
Z014,3945824.410,500199.895,703.227
Z015,3945857.515,500210.787,701.971
Z016,3945871.449,500208.217,695.532
Z017,3945897.478,500212.420,688.432
Z018,3945921.502,500213.217,683.267
Z019,3945938.271,500210.704,677.233
Z020,3945969.663,500210.295,667.516
Z021,3945992.224,500209.220,662.333
Z029,3946128.488,500208.977,615.389
Z030,3946147.764,500214.876,614.338
Z031,3946175.380,500208.190,600.011
Z032,3946195.427,500210.226,583.159
Z033,3946223.434,500210.780,583.211
Z034,3946248.631,500208.708,580.133
Z035,3946272.655,500206.615,583.893
