ser,岩层,floor_height,厚度,埋深,dens,young,poisson,cohesion,fric,iniszz
,,800,,,,,,,,,
01,泥岩,527.6,22.4,0,2600,5.00E+09,18.35,5.60E+06,20,0
02,细粒砂岩,477.6,50,-22.4,2530,8.64E+09,0.24,5.60E+06,46,-15680
03,泥岩,387.6,90,-72.4,2600,5.80E+09,0.31,3.30E+06,35,35000
04,砂质泥岩,300.6,87,-162.4,2580,8.64E+09,0.24,5.60E+06,46,2520
05,粉砂岩,290.6,10,-249.4,2600,5.80E+09,0.31,3.30E+06,35,52400
06,泥岩,280.6,10,-259.4,2600,6.70E+09,0.26,4.50E+06,35,52400
07,细粒砂岩,272.6,8,-269.4,2530,6.20E+09,0.27,4.20E+06,34,-136180
08,泥岩,267.6,5,-277.4,2600,5.80E+09,0.31,3.30E+06,35,58000
09,煤,265,2.6,-282.4,1400,8.64E+09,0.24,5.60E+06,46,-3530800
10,煤,262.4,2.6,-285,1400,5.80E+09,0.31,3.30E+06,35,-3330800
11,底板,212.4,50,-287.6,2580,3.60E+09,0.32,2.80E+06,30,62880
