group,yc,roof,dens,young,poisson,cohesion,fric,ten,iniszz
rock_k,niyan,800,2600,5.80E+09,0.31,3.30E+06,35,1.98E+06,0
rock_j,xlsy,527.6,2530,8.64E+09,0.24,5.60E+06,46,3.36E+06,-15680
rock_i,niyan,477.6,2600,5.80E+09,0.31,3.30E+06,35,1.98E+06,35000
rock_h,szny,387.6,2580,6.70E+09,0.26,4.50E+06,35,2.70E+06,2520
rock_g,fsy,300.6,2600,6.20E+09,0.27,4.20E+06,34,2.52E+06,52400
rock_f,ny,290.6,2600,5.80E+09,0.31,3.30E+06,35,1.98E+06,52400
rock_e,xlsy,280.6,2530,8.64E+09,0.24,5.60E+06,46,3.36E+06,-136180
rock_d,ny,272.6,2600,5.80E+09,0.31,3.30E+06,35,1.98E+06,58000
rock_c,m,267.6,1400,3.60E+09,0.32,2.80E+06,30,1.68E+06,-3330800
rock_b,m,265,1400,3.60E+09,0.32,2.80E+06,30,1.68E+06,-3330800
rock_a,db,262.4,2580,6.70E+09,0.26,4.50E+06,35,2.70E+06,62880
,,212.4,,,,,,,
